key	en	de	pl	fr	nl
noData/title	Sorry	Entschuldigung!	Przepraszamy	Désolé!	Sorry
noData/text	No PatientData.txt file was found.	Keine PatientData.txt Datei gefunden wurde.	Nie odnaleziono pliku danych pacjenta PatientData.txt	Pas de fichier patient data.txt trouvé	geen patiënt data.txt document gevonden
fileCountMessage	Displaying {displayCount} out of {archiveCount} files in the archive.	Es werden {displayCount} von {archiveCount} Dateien im Archiv.	Wyświetlanie {displayCount} z {archiveCount} plików w archiwum.	Affichage {displayCount} de fichiers {archiveCount} dans les archives.	Er worden {displayCount} van {archiveCount} documenten in archief weergegeven
menu/new	New	Neu	Nowy	Nouveau	nieuw
menu/retrieve/text	Retrieve	Aufzeichnung	Odczytaj  	Récupérer	ophalen
menu/retrieve/tooltip	Retrieve study from data card	Aufzeichnung Studie von SD-Karte	Odczytaj badanie z karty	Récupérer l'enregistrement de la carte de données	Studie ophalen van data kaart
menu/open/text	Open	Öffnen	Otwórz	Ouvrir	open
menu/open/tooltip	Open Study	Aufzeichnung öffnen	Otwórz badanie	Ouvrir l'enregistrement	Open studie
menu/printPrev	Print	Drucken	Drukuj	Aperçu avant impression	Print voorbeeld
menu/report	Report	Bericht	Raport	Rapport	Rapport
menu/graph	Graph	Graphik	Wykres	Graphique 	Grafiek
menu/save/text	Save	Speichern	Zapisz	Sauver	Bewaren
menu/save/tooltip	Save study to disk	Speichern der Studie auf Diskette	Zapisz badanie na dysk	Sauver l'enregistrement sur disque	Studie bewaren op schijf
settings/settings	Settings	Einstellungen	Ustawienia	Réglages	Instelingen
settings/help	Help	Hilfe	Pomoc	Aide	Help
newStudy/title	New Study	Neue Aufzeichnung	Nowe badanie	Nouvel examen	Nieuwe studie
newStudy/tabs/patientDetails/title	Patient Details	Patienten Details	Dane pacjenta	Informations patient	Patiënten gegevens
newStudy/tabs/patientDetails/lastName	Last Name	Nachname	Nazwisko	Nom	Achternaam
newStudy/tabs/patientDetails/firstName	First Name	Vorname	Imię	Prénom	Voornaam
newStudy/tabs/patientDetails/studyDate	Study Date	Aufzeichnungsdatum	Data badania	Date de l'examen	Studie datum
newStudy/tabs/patientDetails/patientID	Patient ID	Patienten ID	Id pacjenta	Numéro patient	Patiënt ID
newStudy/tabs/patientDetails/birthdate	Birthdate	Geburtstag	Data urodzenia	Date de naisance	Geboortedatum
newStudy/tabs/patientDetails/gender/title	Gender	Geschlecht	Płeć	Sexe	Geslacht
newStudy/tabs/patientDetails/gender/male	Male	männlich	Mężczyzna	Masculin	Man
newStudy/tabs/patientDetails/gender/female	Female	weiblich	Kobieta	Féminin	Vrouw
newStudy/tabs/patientDetails/weight	Weight	Gewicht	Masa	Poids	Gewicht
newStudy/tabs/patientDetails/height	Height	Größe	Wzrost	Taille	lLengte
newStudy/tabs/patientDetails/requiredField	required field	Pflicht-Feld	pole wymagane	Champ obligatoire	Verplicht veld
newStudy/tabs/customSymptoms/title	Custom Symptoms	Patientenspezifische Symptome	Objawy specjalne (użytkownika)	Symptômes personnalisés	Patiënten symptomen
newStudy/tabs/customSymptoms/symptom1	Symptom 1	Symptom 1	Objaw 1	Symptôme 1	Symptoom 1
newStudy/tabs/customSymptoms/symptom2	Symptom 2	Symptom 2	Objaw 2	Symptôme 2	Symptoom 2
newStudy/tabs/customSymptoms/symptom3	Symptom 3	Symptom 3	Objaw 3	Symptôme 3	Symptoom 3
newStudy/tabs/studyDetails/title	Study Details	Aufzeichnungsdetails	Dane badania	Informations examen	Studie details
newStudy/tabs/studyDetails/technician	Technician	Ärztliche Hilfskraft	Technik	Technicien	Technicus
